OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
1253,08-036278,20080326,HERITAGE DR @ INDIAN RD,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1254,08-035855,20080325,RADCLIFFE DR @ GRAYWOOD CRT,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1255,08-113812,20080907,DALEWOOD DR @ ROSEWOOD DR,02-Intersection related,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
1256,08-132736,20081017,BAXTER PL @ SPORTSWORLD DR / PIONEER TOWER RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1257,08-030791,20080314,PATRICIA AVE @ HIGHLAND RD W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1258,08-051172,20080429,OLD CHICOPEE DR @ NOTCHWOOD CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1259,08-022232,20080222,JOSEPH ST @ VICTORIA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1260,08-013693,20080203,GUERIN AVE @ JANSEN AVE,02-Intersection related,12-Off highway,03-Snow,"08-Dark, artificial",INTERSECTION,
1261,08-047683,20080421,MILL PARK DR @ OLD MILL RD / ROOS ST,02-Intersection related,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
1262,08-093624,20080726,FAIRWAY RD N @ PEBBLECREEK DR / UPPER MERCER ST,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1263,08-144149,20081112,HIGHLAND RD W @ NORTH DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1264,08-156054,20081126,MARGARET AVE @ FAIRFIELD AVE,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1265,08-141590,20081106,STIRLING AVE N @ MELROSE AVE,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1266,08-015735,20080207,STIRLING AVE S @ SOUTHMOOR DR,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1267,08-074888,20080619,FISCHER HALLMAN RD @ ACTIVA AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1268,08-166320,20081214,PINE VALLEY DR @ FISCHER CRT,01-Non intersection,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
1269,08-016504,20080209,FISCHER HALLMAN RD @ COTTON GRASS ST,99-Other,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
1270,08-159190,20081202,TRILLIUM DR @ MCBRINE DR,02-Intersection related,02-Thru lane,99-Other,01-Daylight,INTERSECTION,
1271,08-012492,20080131,ANVIL ST @ DOON VILLAGE RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1272,08-170253,20081220,BRIDGE ST W @ WOOLWICH ST,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1273,08-161721,20081205,BURBANK RD @ ADA ST,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1274,08-156851,20081125,AVON RD @ MANCHESTER RD,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
1275,08-158735,20081122,BETTLEY CRES @ BAIRD AVE,03-At intersection,01-Within intersection,01-Clear,"08-Dark, artificial",INTERSECTION,
1276,08-170940,20081219,AMELIA ST @ AMELIA CRT,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1277,08-170902,20081222,STANLEY AVE @ SCHWEITZER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1278,08-008683,20080121,MANITOULIN CRES @ GRAND RIVER BLVD,01-Non intersection,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
1279,08-010193,20080125,LORRAINE AVE @ CONFEDERATION DR,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1280,08-082670,20080704,ST GEORGE ST @ PETER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1281,08-018075,20080212,DEER RIDGE CRT @ DEER RIDGE CRES,03-At intersection,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
1282,08-018772,20080214,MEINZINGER AVE @ BORDEN PKY,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1283,08-151185,20081119,BLACKWELL DR @ LANARK CRES,04-At/near private drive,10-Not on roadway - left side,03-Snow,"08-Dark, artificial",INTERSECTION,
1284,08-139449,20081101,BRIARMEADOW DR @ TISDALE CRT,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1285,08-137598,20081028,EDGEWATER CRES @ JANINE ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1286,08-105713,20080821,EDGEWATER CRES @ TREMAINE DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1287,08-083957,20080706,FOREST HILL DR @ BIRCHCLIFF AVE,03-At intersection,11-Not on roadway - right side,01-Clear,07-Dark,INTERSECTION,
1288,08-031833,20080314,SIXTH AVE @ GREENFIELD AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1289,08-031109,20080314,WEBER ST W @ GUELPH ST,99-Other,99-Other,99-Other,01-Daylight,INTERSECTION,
1290,08-010660,20080126,WEBER ST E @ SIMEON ST,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
1291,08-154128,20081124,THE COUNTRY WAY @ NICHOLE CRES,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
1292,08-146275,20081117,BUTTONWOOD DR @ WARREN RD,01-Non intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1293,08-100704,20080809,OLDFIELD DR @ BRIERDALE DR,03-At intersection,02-Thru lane,02-Rain,"06-Dusk, artificial",INTERSECTION,
1294,08-165829,20081212,RITTENHOUSE RD @ BROOKFIELD CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1295,08-167209,20081215,SCOTT ST @ WEBER ST E,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
1296,08-008179,20080119,BLOCK LINE RD @ HIGHBROOK ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1297,08-036282,20080325,DODGE DR @ NEW DUNDEE RD,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
1298,08-134557,20081021,PEBBLECREEK CRT @ PEBBLECREEK DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1299,08-151044,20081119,COURTLAND AVE E @ BORDEN AVE S,01-Non intersection,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
1300,08-105395,20080820,VERONICA DR @ KINZIE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1301,07-133070,20071017,VICTORIA ST N @ DUKE ST W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1302,07-060108,20070522,HICKSON DR @ INLET AVE,01-Non intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1303,07-158035,20071211,STONYBROOK DR @ JUNIPER CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1304,07-001070,20070103,DOON SOUTH DR @ WINDING WOOD CRES,01-Non intersection,11-Not on roadway - right side,,"08-Dark, artificial",INTERSECTION,
1305,07-083123,20070707,KING ST E @ MONTGOMERY RD / DIXON ST,02-Intersection related,05-Right turn channel,01-Clear,01-Daylight,INTERSECTION,
1306,07-026688,20070307,CONNAUGHT ST @ SIXTH AVE,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
1307,07-003783,20070110,ROYAL ORCHARD DR @ DEERWOOD CRES,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1308,07-155108,20071205,WESTCHESTER DR @ BREMBEL ST / BREMBEL CRES,04-At/near private drive,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
1309,07-024736,20070302,WEBER ST E @ SHANTZ LANE,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1310,07-099871,20070811,PINECREST DR @ WEBER ST E,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1311,07-070052,20070611,VANIER DR @ ERIE AVE,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
1312,07-019088,20070217,MCINTYRE DR @ TRILLIUM DR,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1313,07-018265,20070215,HIGH ACRES CRES @ BLACKWELL DR,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1314,07-026494,20070306,MOWAT BLVD @ OTTAWA ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1315,07-060587,20070523,SOUTHRIDGE DR @ MANORBROOK CRT,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1316,07-149511,20071122,SELKIRK DR @ GENEVA CRES,04-At/near private drive,12-Off highway,03-Snow,"08-Dark, artificial",INTERSECTION,
1317,07-005374,20070114,GLASGOW ST @ WESTWOOD DR,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
1318,07-130491,20071012,QUAIL HOLLOW @ WINDRUSH TRAIL,99-Other,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
1319,07-005406,20070114,WESTHEIGHTS DR @ SUMMERHILL CRES,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
1320,07-038098,20070402,WIMBLETON CRES @ WORDSWORTH PL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1321,07-044801,20070419,BURLINGTON DR @ TANGLEWOOD AVE,04-At/near private drive,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1322,07-054383,20070508,FORESTWOOD DR @ GLEN AVON CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1323,07-087867,20070717,DOON MILLS DR @ WOODSMERE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1324,07-151515,20071126,RAITAR AVE @ ELLIS AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1325,07-017232,20070210,SHIRK PL @ LANCASTER ST W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1326,07-050504,20070501,JACK AVE @ PATRICIA AVE,01-Non intersection,99-Other,01-Clear,07-Dark,INTERSECTION,
1327,07-026404,20070306,LANARK CRES @ CLAYCROFT CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1328,07-018640,20070210,CARTIER DR @ KIMBERLY CRES,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1329,07-012417,20070201,EDEN AVE @ MT HOPE ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1330,07-018091,20070215,DEER RIDGE DR @ FALL HARVEST DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1331,07-017295,20070213,OLDFIELD DR @ WENDY CRES / MICHENER CRES,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1332,07-138390,20071028,WEBER ST E @ SHELDON AVE N,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1333,07-152534,20071129,ERINBROOK DR @ BONNYBANK CRT,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1334,07-008251,20070121,INDIGO ST @ PROSPERITY DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1335,07-069856,20070611,SPADINA RD W @ GARDEN AVE,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1336,07-063023,20070528,UNION ST @ BIRCH AVE,02-Intersection related,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1337,07-094515,20070731,EBY ST S @ HALLS LANE E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1338,07-054089,20070509,CORSICA ST @ SOPHIA CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1339,07-042455,20070413,HIDDEN VALLEY RD @ WABANAKI DR,99-Other,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
1340,07-054520,20070510,BANFFSHIRE CRT @ BANFFSHIRE CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1341,07-129129,20071003,GUELPH ST @ MOORE AVE,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1342,07-091809,20070725,WOOLWICH ST @ FALCONRIDGE DR,02-Intersection related,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
1343,07-163491,20071224,WINDFLOWER CRES @ WINDFLOWER DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1344,07-141932,20071105,SCOTT ST @ SPETZ ST,04-At/near private drive,12-Off highway,02-Rain,01-Daylight,INTERSECTION,
1345,07-058282,20070518,GORDON AVE @ FREDERICK ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1346,07-019845,20070219,GRASSWOOD ST @ WATERBEND CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1347,07-026690,20070307,BIEHN DR @ MARL MEADOW DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1348,07-025250,20070303,SAMUEL ST @ HOHNER AVE,04-At/near private drive,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
1349,07-142370,20071106,RUSSET PL @ CYPRUS DR,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1350,07-013670,20070204,KEEWATIN AVE @ KEEWATIN PL,01-Non intersection,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
1351,07-135039,20071021,STANLEY AVE @ BLOOMINGDALE RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1352,07-106205,20070812,WEBER ST E @ BETZNER AVE N,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1353,07-071787,20070615,MAX BECKER DR @ ISABELLA ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1354,07-052588,20070506,DEER RIDGE DR @ PIONEER TOWER CRES,01-Non intersection,11-Not on roadway - right side,,07-Dark,INTERSECTION,
1355,07-149214,20071122,ROEHAMPTON CRT @ HUNTINGDALE DR,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1356,07-163604,20071224,ROSE GARDEN ST @ WESTCHESTER DR,04-At/near private drive,02-Thru lane,01-Clear,"02-Daylight, artificial",INTERSECTION,
1357,07-162361,20071221,EDENBRIDGE DR @ DARLINGTON PL,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1358,07-047008,20070421,CONNAUGHT ST @ FIFTH AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1359,07-142583,20071104,HICKSON DR @ LYLE PL,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1360,07-087264,20070716,BUERKLE CRT @ DOON MILLS DR,04-At/near private drive,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1361,07-152006,20071128,SUMMIT AVE @ THORNRIDGE CRES,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1362,07-040210,20070408,MEADOW CRES @ SYCAMORE PL,03-At intersection,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",INTERSECTION,
1363,07-034486,20070324,COVINGTON CRES @ NEWBURY DR,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1364,07-145338,20071113,QUEEN ST S @ BROCK ST,03-At intersection,99-Other,01-Clear,01-Daylight,INTERSECTION,
1365,07-084953,20070711,DUNHAM AVE @ FREDERICK ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1366,07-079094,20070629,LANCASTER ST E @ CHAPEL ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1367,07-145405,20071113,VICTORIA ST N @ RIVER RD E / RIVER RD W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1368,07-128618,20071007,DEER RIDGE DR @ TERRACE WOOD DR,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1369,07-142609,20071106,SILVERSPRING CRES @ WARREN RD,04-At/near private drive,11-Not on roadway - right side,02-Rain,"08-Dark, artificial",INTERSECTION,
1370,07-067007,20070605,CEDAR ST S @ WHITNEY PL,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1371,07-061558,20070525,TREMAINE DR @ FAIRWAY CRES,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1372,07-158586,20071213,EPHRAIM ST @ ANN ST,03-At intersection,12-Off highway,03-Snow,01-Daylight,INTERSECTION,
1373,07-101339,20070814,MCBRINE PL @ MCBRINE DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1374,07-150174,20071124,UXBRIDGE CRES @ ERINBROOK DR,01-Non intersection,08-Left shoulder,01-Clear,01-Daylight,INTERSECTION,
1375,07-009711,20070123,KING ST W @ BREITHAUPT ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1376,07-009616,20070125,MANOR DR @ GRAND RIVER BLVD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1377,07-052804,20070506,MICHENER CRT @ MICHENER CRES,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1378,07-060479,20070519,BRADLEY DR @ ASKIN PL,,,01-Clear,07-Dark,INTERSECTION,
1379,07-032604,20070321,CARLTON ST @ EDGEWOOD DR,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
1380,07-046453,20070422,SOUTHWOOD DR @ SUTTON PL,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1381,07-160586,20071218,COUNTRYSTONE DR @ UNIVERSITY AVE W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1382,07-109311,20070830,ROBERTSON CRES @ BIEHN DR / KILKERRAN CRES,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1383,07-095594,20070802,FREDERICK ST @ BRUCE ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1384,07-039614,20070406,GRAYSTONE AVE @ FOREST HILL DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1385,07-014419,20070206,FOLKSTONE CRES @ RITTENHOUSE RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1386,07-158545,20071213,GREY FOX DR @ QUEEN CHARLOTTE CRES / WOODPOPPY CRT,03-At intersection,09-Right shoulder,03-Snow,01-Daylight,INTERSECTION,
1387,07-084620,20070710,CARLYLE DR @ CARLYLE PL,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1388,07-018782,20070216,SWEETBRIAR DR @ DUNCAIRN AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1389,07-009530,20070125,CAMERON ST N @ ROSE ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1390,07-007712,20070120,WESTWOOD DR @ INWOOD DR,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1391,07-092272,20070727,DUNSMERE DR @ COLEBROOK CRT,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1392,07-153355,20071201,THERESA ST @ VICTORIA ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1393,07-027339,20070308,OTTAWA ST S @ DUNDAS AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1394,07-115755,20070907,EASTFOREST TRAIL @ WILDLARK CRES,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1395,07-121145,20070923,UPPER CANADA DR @ LOWER CANADA CRES,04-At/near private drive,12-Off highway,01-Clear,"02-Daylight, artificial",INTERSECTION,
1396,07-014327,20070206,PINNACLE DR @ PINE HILL PL,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1397,07-011764,20070130,HERITAGE DR @ OTTAWA ST N,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1398,06-156807,20061204,WESTWOOD DR @ HUNTINGTON PL,01-Non intersection,11-Not on roadway - right side,,,INTERSECTION,
1399,06-023381,20060224,ROSENEATH CRES @ BLACKHORNE DR,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1400,06-023259,20060224,GLASGOW ST @ UNIVERSITY AVE W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1401,06-058537,20060512,GREENFIELD AVE @ FIFTH AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1402,06-119274,20060914,FAIRWAY RD N @ BRIARMEADOW DR / SIMS ESTATE DR,01-Non intersection,02-Thru lane,01-Clear,"06-Dusk, artificial",INTERSECTION,
1403,06-042394,20060409,NEWBURY DR @ BURNABY CRES,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1404,06-058697,20060514,MONTE CARLO ST @ CALAIS PL,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1405,06-036665,20060326,ISLINGTON AVE @ CAMDEN PL,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
1406,06-031104,20060315,MANITOU DR @ SASAGA DR,01-Non intersection,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",INTERSECTION,
1407,06-165437,20061225,STOKE DR @ MEDFORD ST,01-Non intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1408,06-151369,20061123,BELMONT AVE W @ JACK AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1409,06-009977,20060124,HOFSTETTER AVE @ CAMEO DR,02-Intersection related,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
1410,06-164102,20061222,OLYMPIC DR @ HOFFMAN ST,01-Non intersection,08-Left shoulder,02-Rain,01-Daylight,INTERSECTION,
1411,07-080979,20070703,AGNES ST @ GRUHN ST,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1412,07-082403,20070706,WEBER ST W @ BLUCHER ST,01-Non intersection,09-Right shoulder,01-Clear,"02-Daylight, artificial",INTERSECTION,
1413,07-159205,20071214,ERINBROOK DR @ THE COUNTRY WAY,99-Other,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
1414,07-121100,20070923,KING ST E @ SYDNEY ST S,04-At/near private drive,12-Off highway,01-Clear,"08-Dark, artificial",INTERSECTION,
1415,07-105684,20070823,SNOWDROP CRES @ PURPLE SAGE CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1416,06-009923,20060124,HALLS LANE E @ BENTON ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1417,07-145291,20071113,SIENNA CRES @ FRANKFURT ST,01-Non intersection,,01-Clear,01-Daylight,INTERSECTION,
1418,07-092961,20070728,SYDNEY ST S @ MAURICE ST,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1419,07-104745,20070821,BENT WILLOW DR @ HIGHVIEW DR / OLD PARK LANE,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1420,07-164394,20071227,ROBERT FERRIE DR @ SOUTHRIDGE DR,03-At intersection,01-Within intersection,"07-Fog, mist, smoke, dust",01-Daylight,INTERSECTION,
1421,07-147150,20071113,TRUSSLER RD @ COSTAIN CRT,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1422,07-116837,20070914,ERINBROOK DR @ MARLIS CRES,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1423,06-015845,20060207,AHRENS ST W @ YOUNG ST,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
1424,07-041462,20070411,CASEY DR @ GRAY ST,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1425,07-024418,20070821,BRADLEY DR @ DOOLEY DR,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
1426,07-114300,20070909,WATERLOO ST @ BISMARK AVE,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
1427,06-148835,20061116,BLEAMS RD @ FALLOWFIELD DR,01-Non intersection,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
1428,06-058461,20060513,MANSION ST @ CHESTNUT ST,01-Non intersection,10-Not on roadway - left side,01-Clear,07-Dark,INTERSECTION,
1429,06-054191,20060503,HIGHLAND RD W @ FIELDGATE ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1430,06-093646,20060724,HOWLAND DR @ JASPER CRT,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1431,06-150878,20061122,LUELLA ST @ LANCASTER ST E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1432,06-115170,20060906,WEICHEL ST @ BELTON DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1433,06-059854,20060424,BLUCHER ST @ ELLIS AVE,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
1434,06-158981,20061209,SAMUEL ST @ PANDORA AVE N,03-At intersection,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
1435,06-151242,20061123,MOUNTAIN LAUREL CRES @ BLUE LACE CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1436,06-147961,20061115,SNOWDROP CRES @ RED CLOVER CRES,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1437,06-145228,20061103,NEWBURY DR @ ROLLING MEADOWS DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1438,06-122169,20060915,VICTORIA ST S @ PATRICIA AVE,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1439,06-162443,20061215,WEICHEL ST @ VICTORIA ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1440,06-161998,20061217,NYBERG ST @ OTTAWA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1441,06-138921,20061026,SHERWOOD AVE @ ROSEMOUNT DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
1442,06-103755,20060813,SPADINA RD E @ WINSLOW DR,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,INTERSECTION,
1443,06-166921,20061230,LOUISA ST @ ST VINCENT ST,04-At/near private drive,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
